x,y,time,missid
50,50,0,1
51.6547150951537,52.1335224287245,10800,1
53.3094301903075,54.267044857449,21600,1
54.9641452854612,56.4005672861734,32400,1
56.6188603806149,58.5340897148979,43200,1
58.2735754757686,60.6676121436224,54000,1
59.9282905709223,62.8011345723469,64800,1
61.5830056660761,64.9346570010714,75600,1
63.2377207612298,67.0681794297958,86400,1
64.8924358563835,69.2017018585203,97200,1
66.5471509515372,71.3352242872448,108000,1
68.201866046691,73.4687467159693,118800,1
69.8565811418447,75.6022691446938,129600,1
71.5112962369984,77.7357915734182,140400,1
73.1660113321521,79.8693140021427,151200,1
74.8207264273059,82.0028364308672,162000,1
76.4754415224596,84.1363588595917,172800,1
78.1301566176133,86.2698812883162,183600,1
79.784871712767,88.4034037170406,194400,1
81.4395868079207,90.5369261457651,205200,1
78.7397699359311,90.5683722539474,216000,1
76.0399530639414,90.5998183621297,226800,1
73.3401361919517,90.631264470312,237600,1
70.640319319962,90.6627105784943,248400,1
67.9405024479723,90.6941566866766,259200,1
65.2406855759826,90.7256027948589,270000,1
62.5408687039929,90.7570489030412,280800,1
59.8410518320032,90.7884950112235,291600,1
57.1412349600135,90.8199411194058,302400,1
54.4414180880239,90.851387227588,313200,1
51.7416012160342,90.8828333357703,324000,1
49.0417843440445,90.9142794439526,334800,1
46.3419674720548,90.9457255521349,345600,1
43.6421506000651,90.9771716603172,356400,1
40.9423337280754,91.0086177684995,367200,1
38.2425168560857,91.0400638766818,378000,1
35.542699984096,91.0715099848641,388800,1
32.8428831121063,91.1029560930464,399600,1
30.1430662401167,91.1344022012287,410400,1
27.443249368127,91.165848309411,421200,1
24.7434324961373,91.1972944175933,432000,1
22.0436156241476,91.2287405257756,442800,1
19.3437987521579,91.2601866339579,453600,1
16.6439818801682,91.2916327421402,464400,1
13.9441650081785,91.3230788503224,475200,1
15.3405944354435,89.0122381256795,486000,1
16.7370238627085,86.7013974010365,496800,1
18.1334532899735,84.3905566763936,507600,1
19.5298827172385,82.0797159517506,518400,1
20.9263121445035,79.7688752271077,529200,1
22.3227415717685,77.4580345024647,540000,1
23.7191709990335,75.1471937778218,550800,1
25.1156004262985,72.8363530531788,561600,1
26.5120298535635,70.5255123285359,572400,1
27.9084592808284,68.2146716038929,583200,1
29.3048887080934,65.90383087925,594000,1
30.7013181353584,63.592990154607,604800,1
32.0977475626234,61.2821494299641,615600,1
33.4941769898884,58.9713087053211,626400,1
34.8906064171534,56.6604679806782,637200,1
36.2870358444184,54.3496272560352,648000,1
37.6834652716834,52.0387865313923,658800,1
39.0798946989484,49.7279458067493,669600,1
40.4763241262134,47.4171050821064,680400,1
41.8727535534784,45.1062643574634,691200,1
43.2691829807434,42.7954236328205,702000,1
44.6656124080084,40.4845829081775,712800,1
46.0620418352734,38.1737421835345,723600,1
47.4584712625383,35.8629014588916,734400,1
48.8549006898034,33.5520607342486,745200,1
50.2513301170683,31.2412200096057,756000,1
51.6477595443333,28.9303792849628,766800,1
53.0441889715983,26.6195385603198,777600,1
54.4406183988633,24.3086978356768,788400,1
55.8370478261283,21.9978571110339,799200,1
57.2334772533933,19.6870163863909,810000,1
58.6299066806583,17.376175661748,820800,1
60.0263361079233,15.065334937105,831600,1
61.4227655351883,12.7544942124621,842400,1
62.8191949624533,10.4436534878191,853200,1
61.1449904585988,12.5619167574042,864000,1
59.4707859547443,14.6801800269893,874800,1
57.7965814508897,16.7984432965744,885600,1
56.1223769470352,18.9167065661595,896400,1
54.4481724431807,21.0349698357445,907200,1
52.7739679393262,23.1532331053296,918000,1
51.0997634354717,25.2714963749147,928800,1
49.4255589316172,27.3897596444998,939600,1
47.7513544277627,29.5080229140849,950400,1
46.0771499239082,31.6262861836699,961200,1
44.4029454200537,33.744549453255,972000,1
42.7287409161992,35.8628127228401,982800,1
41.0545364123447,37.9810759924252,993600,1
39.3803319084901,40.0993392620103,1004400,1
37.7061274046356,42.2176025315954,1015200,1
36.0319229007811,44.3358658011804,1026000,1
34.3577183969266,46.4541290707655,1036800,1
32.6835138930721,48.5723923403506,1047600,1
31.0093093892176,50.6906556099357,1058400,1
29.3351048853631,52.8089188795208,1069200,1
27.6609003815086,54.9271821491058,1080000,1
29.9654952072036,56.3338955845218,1090800,1
32.2700900328986,57.7406090199377,1101600,1
34.5746848585937,59.1473224553537,1112400,1
36.8792796842887,60.5540358907696,1123200,1
39.1838745099837,61.9607493261856,1134000,1
41.4884693356787,63.3674627616015,1144800,1
43.7930641613737,64.7741761970175,1155600,1
46.0976589870688,66.1808896324334,1166400,1
48.4022538127638,67.5876030678493,1177200,1
50.7068486384588,68.9943165032653,1188000,1
53.0114434641538,70.4010299386812,1198800,1
55.3160382898489,71.8077433740972,1209600,1
57.6206331155439,73.2144568095131,1220400,1
59.9252279412389,74.6211702449291,1231200,1
62.2298227669339,76.027883680345,1242000,1
64.5344175926289,77.434597115761,1252800,1
66.839012418324,78.8413105511769,1263600,1
69.143607244019,80.2480239865928,1274400,1
71.448202069714,81.6547374220088,1285200,1
73.752796895409,83.0614508574247,1296000,1
76.0573917211041,84.4681642928407,1306800,1
78.3619865467991,85.8748777282566,1317600,1
80.6665813724941,87.2815911636726,1328400,1
82.9711761981891,88.6883045990885,1339200,1
85.2757710238841,90.0950180345045,1350000,1
87.5803658495792,91.5017314699204,1360800,1
89.8849606752742,92.9084449053364,1371600,1
92.1895555009692,94.3151583407523,1382400,1
94.4941503266642,95.7218717761682,1393200,1
96.7987451523593,97.1285852115842,1404000,1
94.0987461398131,97.1262760451737,1414800,1
91.3987471272668,97.1239668787633,1425600,1
88.6987481147206,97.1216577123528,1436400,1
85.9987491021744,97.1193485459424,1447200,1
83.2987500896282,97.117039379532,1458000,1
80.598751077082,97.1147302131215,1468800,1
77.8987520645358,97.112421046711,1479600,1
75.1987530519896,97.1101118803006,1490400,1
72.4987540394434,97.1078027138902,1501200,1
69.7987550268972,97.1054935474797,1512000,1
67.098756014351,97.1031843810693,1522800,1
64.3987570018048,97.1008752146588,1533600,1
61.6987579892586,97.0985660482484,1544400,1
58.9987589767124,97.0962568818379,1555200,1
56.2987599641662,97.0939477154275,1566000,1
53.59876095162,97.091638549017,1576800,1
50.8987619390738,97.0893293826066,1587600,1
48.1987629265275,97.0870202161961,1598400,1
45.4987639139813,97.0847110497857,1609200,1
42.7987649014351,97.0824018833753,1620000,1
40.0987658888889,97.0800927169648,1630800,1
37.3987668763427,97.0777835505543,1641600,1
34.6987678637965,97.0754743841439,1652400,1
31.9987688512503,97.0731652177335,1663200,1
29.2987698387041,97.070856051323,1674000,1
26.5987708261579,97.0685468849126,1684800,1
23.8987718136117,97.0662377185021,1695600,1
21.1987728010655,97.0639285520917,1706400,1
18.4987737885193,97.0616193856812,1717200,1
15.7987747759731,97.0593102192708,1728000,1
18.1066991321923,95.6580660699627,1738800,1
20.4146234884115,94.2568219206547,1749600,1
22.7225478446308,92.8555777713466,1760400,1
25.03047220085,91.4543336220386,1771200,1
27.3383965570693,90.0530894727306,1782000,1
29.6463209132885,88.6518453234225,1792800,1
31.9542452695077,87.2506011741145,1803600,1
34.262169625727,85.8493570248065,1814400,1
36.5700939819462,84.4481128754984,1825200,1
38.8780183381655,83.0468687261904,1836000,1
41.1859426943847,81.6456245768823,1846800,1
43.4938670506039,80.2443804275743,1857600,1
45.8017914068232,78.8431362782663,1868400,1
48.1097157630424,77.4418921289582,1879200,1
50.4176401192617,76.0406479796502,1890000,1
52.7255644754809,74.6394038303422,1900800,1
55.0334888317001,73.2381596810341,1911600,1
57.3414131879194,71.8369155317261,1922400,1
59.6493375441386,70.4356713824181,1933200,1
61.9572619003579,69.03442723311,1944000,1
64.2651862565771,67.633183083802,1954800,1
66.5731106127963,66.2319389344939,1965600,1
68.8810349690156,64.8306947851859,1976400,1
71.1889593252348,63.4294506358778,1987200,1
73.4968836814541,62.0282064865698,1998000,1
75.8048080376733,60.6269623372618,2008800,1
78.1127323938925,59.2257181879537,2019600,1
80.4206567501118,57.8244740386457,2030400,1
82.728581106331,56.4232298893377,2041200,1
85.0365054625503,55.0219857400296,2052000,1
87.3444298187695,53.6207415907216,2062800,1
89.6523541749887,52.2194974414135,2073600,1
91.960278531208,50.8182532921055,2084400,1
94.2682028874272,49.4170091427975,2095200,1
96.5761272436465,48.0157649934894,2106000,1
95.3896597362239,45.5904207181688,2116800,1
94.2031922288013,43.1650764428482,2127600,1
93.0167247213788,40.7397321675276,2138400,1
91.8302572139562,38.314387892207,2149200,1
90.6437897065336,35.8890436168863,2160000,1
89.4573221991111,33.4636993415657,2170800,1
88.2708546916885,31.0383550662451,2181600,1
87.0843871842659,28.6130107909245,2192400,1
85.8979196768434,26.1876665156039,2203200,1
84.7114521694208,23.7623222402833,2214000,1
83.5249846619983,21.3369779649626,2224800,1
82.3385171545757,18.911633689642,2235600,1
81.1520496471531,16.4862894143214,2246400,1
79.9655821397306,14.0609451390008,2257200,1
78.7823840148083,16.4878860524102,2268000,1
77.5991858898861,18.9148269658196,2278800,1
76.4159877649638,21.341767879229,2289600,1
75.2327896400416,23.7687087926384,2300400,1
74.0495915151193,26.1956497060478,2311200,1
72.8663933901971,28.6225906194572,2322000,1
71.6831952652748,31.0495315328666,2332800,1
70.4999971403526,33.476472446276,2343600,1
69.3167990154303,35.9034133596854,2354400,1
68.1336008905081,38.3303542730948,2365200,1
66.9504027655858,40.7572951865042,2376000,1
65.7672046406636,43.1842360999136,2386800,1
64.5840065157413,45.611177013323,2397600,1
63.4008083908191,48.0381179267325,2408400,1
62.2176102658968,50.4650588401419,2419200,1
61.0344121409746,52.8919997535513,2430000,1
59.8512140160523,55.3189406669607,2440800,1
58.6680158911301,57.7458815803701,2451600,1
57.4848177662078,60.1728224937795,2462400,1
56.3016196412856,62.5997634071889,2473200,1
55.1184215163633,65.0267043205983,2484000,1
53.9352233914411,67.4536452340077,2494800,1
52.7520252665188,69.8805861474171,2505600,1
51.5688271415966,72.3075270608265,2516400,1
50.3856290166744,74.7344679742359,2527200,1
49.2024308917521,77.1614088876453,2538000,1
48.0192327668299,79.5883498010547,2548800,1
46.8360346419076,82.0152907144641,2559600,1
45.6528365169854,84.4422316278735,2570400,1
44.4696383920631,86.8691725412829,2581200,1
43.2864402671409,89.2961134546923,2592000,1
42.1032421422186,91.7230543681017,2602800,1
44.7859090337025,92.0285021530608,2613600,1
47.4685759251863,92.3339499380199,2624400,1
50.1512428166701,92.639397722979,2635200,1
52.833909708154,92.9448455079381,2646000,1
55.5165765996378,93.2502932928971,2656800,1
58.1992434911217,93.5557410778562,2667600,1
60.8819103826055,93.8611888628153,2678400,1
63.5645772740894,94.1666366477744,2689200,1
66.2472441655732,94.4720844327335,2700000,1
68.9299110570571,94.7775322176925,2710800,1
71.6125779485409,95.0829800026516,2721600,1
74.2952448400247,95.3884277876107,2732400,1
76.9779117315086,95.6938755725698,2743200,1
79.6605786229924,95.9993233575289,2754000,1
79.2537825114661,93.3301442845465,2764800,1
78.8469863999397,90.6609652115641,2775600,1
78.4401902884133,87.9917861385817,2786400,1
78.0333941768869,85.3226070655994,2797200,1
77.6265980653606,82.653427992617,2808000,1
77.2198019538342,79.9842489196346,2818800,1
76.8130058423078,77.3150698466523,2829600,1
76.4062097307815,74.6458907736699,2840400,1
75.9994136192551,71.9767117006875,2851200,1
75.5926175077287,69.3075326277051,2862000,1
75.1858213962024,66.6383535547228,2872800,1
74.779025284676,63.9691744817404,2883600,1
74.3722291731496,61.299995408758,2894400,1
73.9654330616233,58.6308163357757,2905200,1
73.5586369500969,55.9616372627933,2916000,1
73.1518408385705,53.2924581898109,2926800,1
72.7450447270442,50.6232791168286,2937600,1
72.3382486155178,47.9541000438462,2948400,1
71.9314525039914,45.2849209708638,2959200,1
71.5246563924651,42.6157418978814,2970000,1
71.1178602809387,39.9465628248991,2980800,1
70.7110641694123,37.2773837519167,2991600,1
70.304268057886,34.6082046789343,3002400,1
69.8974719463596,31.939025605952,3013200,1
69.4906758348332,29.2698465329696,3024000,1
69.0838797233069,26.6006674599872,3034800,1
68.6770836117805,23.9314883870049,3045600,1
68.2702875002541,21.2623093140225,3056400,1
67.8634913887278,18.5931302410401,3067200,1
